iter	Passed	Remaining
528	2601	2316
529	2605	2310
530	2609	2304
531	2612	2298
532	2616	2292
533	2620	2286
534	2624	2280
535	2628	2275
536	2633	2270
537	2638	2265
538	2642	2259
539	2646	2254
540	2651	2249
541	2655	2244
542	2660	2239
543	2666	2234
544	2670	2229
545	2675	2224
546	2681	2220
547	2685	2215
548	2689	2209
549	2695	2205
550	2700	2200
551	2704	2195
552	2711	2191
553	2715	2186
554	2718	2180
555	2722	2174
556	2727	2169
557	2731	2163
558	2734	2157
559	2739	2152
560	2743	2146
561	2747	2140
562	2750	2135
563	2754	2129
564	2759	2124
565	2761	2117
566	2765	2112
567	2768	2105
568	2772	2099
569	2776	2094
570	2779	2088
571	2783	2082
572	2787	2077
573	2792	2072
574	2796	2066
575	2800	2061
576	2805	2056
577	2809	2051
578	2813	2045
579	2818	2040
580	2823	2036
581	2827	2030
582	2831	2025
583	2836	2020
584	2841	2015
585	2844	2009
586	2847	2003
587	2853	1999
588	2857	1994
589	2860	1988
590	2865	1983
591	2870	1978
592	2874	1972
593	2877	1967
594	2882	1962
595	2886	1956
596	2890	1951
597	2893	1944
598	2897	1940
599	2902	1934
600	2906	1929
601	2910	1924
602	2915	1919
603	2919	1914
604	2923	1908
605	2927	1903
606	2932	1898
607	2935	1892
608	2939	1887
609	2944	1882
610	2948	1877
611	2952	1871
612	2955	1865
613	2959	1860
614	2963	1855
615	2967	1849
616	2971	1844
617	2976	1839
618	2980	1834
619	2984	1829
620	2988	1823
621	2992	1818
622	2997	1813
623	3001	1808
624	3006	1803
625	3010	1798
626	3015	1793
627	3020	1789
628	3027	1785
629	3031	1780
630	3035	1775
631	3041	1770
632	3045	1765
633	3049	1760
634	3053	1755
635	3058	1750
636	3062	1745
637	3067	1740
638	3072	1735
639	3076	1730
640	3080	1725
641	3085	1720
642	3090	1715
643	3095	1710
644	3100	1706
645	3107	1702
646	3112	1698
647	3117	1693
648	3123	1689
649	3129	1685
650	3136	1681
651	3142	1677
652	3147	1672
653	3154	1669
654	3160	1664
655	3167	1660
656	3172	1656
657	3177	1651
658	3183	1647
659	3189	1642
660	3195	1638
661	3200	1634
662	3205	1629
663	3210	1624
664	3217	1620
665	3221	1615
666	3226	1610
667	3232	1606
668	3238	1602
669	3243	1597
670	3247	1592
671	3252	1587
672	3258	1583
673	3264	1578
674	3268	1573
675	3272	1568
676	3278	1563
677	3283	1559
678	3286	1553
679	3291	1548
680	3295	1543
681	3300	1538
682	3304	1533
683	3310	1529
684	3314	1524
685	3317	1518
686	3323	1514
687	3328	1509
688	3332	1504
689	3337	1499
690	3342	1494
691	3347	1489
692	3351	1484
693	3356	1480
694	3361	1475
695	3365	1469
696	3368	1464
697	3372	1459
698	3377	1454
699	3380	1448
700	3384	1443
701	3389	1438
702	3393	1433
703	3397	1428
704	3402	1423
705	3406	1418
706	3411	1413
707	3416	1408
708	3421	1404
709	3425	1399
710	3430	1394
711	3433	1388
712	3438	1383
713	3441	1378
714	3445	1373
715	3450	1368
716	3454	1363
717	3458	1358
718	3462	1353
719	3466	1348
720	3470	1343
721	3474	1337
722	3478	1332
723	3482	1327
724	3485	1322
725	3489	1316
726	3493	1311
727	3497	1306
728	3500	1301
729	3504	1296
730	3508	1290
731	3513	1286
732	3517	1281
733	3521	1276
734	3525	1271
735	3530	1266
736	3534	1261
737	3538	1256
738	3542	1251
739	3545	1245
740	3549	1240
741	3553	1235
742	3556	1230
743	3560	1225
744	3564	1220
745	3568	1215
746	3572	1210
747	3576	1204
748	3580	1199
749	3583	1194
750	3587	1189
751	3592	1184
752	3595	1179
753	3599	1174
754	3602	1169
755	3622	1169
756	3627	1164
757	3631	1159
758	3634	1154
759	3639	1149
760	3642	1144
761	3645	1138
762	3649	1133
763	3653	1128
764	3658	1123
765	3661	1118
766	3666	1113
767	3670	1108
768	3673	1103
769	3677	1098
770	3682	1093
771	3686	1088
772	3690	1083
773	3695	1079
774	3700	1074
775	3704	1069
776	3708	1064
777	3713	1059
778	3717	1054
779	3721	1049
780	3725	1044
781	3730	1039
782	3735	1035
783	3738	1030
784	3743	1025
785	3748	1020
786	3751	1015
787	3754	1010
788	3758	1005
789	3764	1000
790	3768	995
791	3772	990
792	3778	986
793	3782	981
794	3786	976
795	3790	971
796	3795	966
797	3799	961
798	3803	956
799	3808	952
800	3813	947
801	3816	942
802	3821	937
803	3826	932
804	3830	927
805	3834	923
806	3840	918
807	3844	913
808	3848	908
809	3853	903
810	3858	899
811	3862	894
812	3865	889
813	3871	884
814	3876	879
815	3880	874
816	3884	870
817	3889	865
818	3894	860
819	3898	855
820	3903	851
821	3908	846
822	3912	841
823	3917	836
824	3922	832
825	3929	827
826	3935	823
827	3939	818
828	3945	813
829	3952	809
830	3958	804
831	3964	800
832	3970	796
833	3977	791
834	3986	787
835	3992	783
836	4000	779
837	4005	774
838	4013	770
839	4019	765
840	4024	760
841	4031	756
842	4036	751
843	4043	747
844	4049	742
845	4054	738
846	4060	733
847	4066	728
848	4071	724
849	4078	719
850	4083	714
851	4088	710
852	4095	705
853	4100	700
854	4105	696
855	4110	691
856	4115	686
857	4120	681
858	4125	677
859	4131	672
860	4135	667
861	4140	662
862	4144	657
863	4148	653
864	4154	648
865	4157	643
866	4162	638
867	4166	633
868	4172	628
869	4176	624
870	4181	619
871	4186	614
872	4191	609
873	4195	604
874	4200	600
875	4205	595
876	4210	590
877	4214	585
878	4218	580
879	4223	575
880	4227	571
881	4231	566
882	4236	561
883	4240	556
884	4243	551
885	4248	546
886	4252	541
887	4257	536
888	4262	532
889	4266	527
890	4270	522
891	4275	517
892	4280	512
893	4284	508
894	4288	503
895	4292	498
896	4297	493
897	4302	488
898	4305	483
899	4310	478
900	4313	473
901	4317	469
902	4321	464
903	4326	459
904	4330	454
905	4335	449
906	4339	444
907	4343	440
908	4348	435
909	4352	430
910	4356	425
911	4361	420
912	4365	415
913	4369	411
914	4374	406
915	4379	401
916	4383	396
917	4388	391
918	4393	387
919	4397	382
920	4402	377
921	4407	372
922	4410	367
923	4415	363
924	4419	358
925	4425	353
926	4429	348
927	4433	344
928	4438	339
929	4442	334
930	4446	329
931	4451	324
932	4456	320
933	4461	315
934	4468	310
935	4472	305
936	4478	301
937	4483	296
938	4489	291
939	4493	286
940	4498	282
941	4503	277
942	4508	272
943	4515	267
944	4520	263
945	4524	258
946	4530	253
947	4535	248
948	4540	244
949	4548	239
950	4553	234
951	4558	229
952	4565	225
953	4570	220
954	4575	215
955	4581	210
956	4586	206
957	4591	201
958	4596	196
959	4603	191
960	4613	187
961	4620	182
962	4633	178
963	4644	173
964	4652	168
965	4663	164
966	4670	159
967	4679	154
968	4685	149
969	4693	145
970	4699	140
971	4712	135
972	4720	130
973	4727	126
974	4733	121
975	4741	116
976	4747	111
977	4754	106
978	4760	102
979	4766	97
980	4773	92
981	4780	87
982	4788	82
983	4793	77
984	4801	73
985	4807	68
986	4813	63
987	4820	58
988	4827	53
989	4834	48
990	4840	43
991	4847	39
992	4853	34
993	4859	29
994	4866	24
995	4872	19
996	4879	14
997	4884	9
998	4889	4
999	4896	0
